underlying_symbol,avg_spread,tot_volume,num_opt,analysis_date,expiration,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate,put_delta,call_delta,put_strike,call_strike,put_bid,call_bid,garch_forecast,vol_prem
USB,0.03600000000000001,79,5,2019-02-15,2019-03-15,50.512,0.18244859954727335,0.1923872072734207,0.18748377129664778,0.06650689115898945,0.18692350577346128,45,52.5,0.11,0.18,0.16352559989571658,0.018922999651556777
VXXB,0.08648648648648648,14924,37,2019-02-15,2019-03-15,33.769999999999996,0.5537615153955798,0.584650210744653,0.569415351416247,0.0632681425284417,0.09894913555269014,28,45,0.1,0.25,0.7508448284158908,-0.197083313020311
VZ,0.01833333333333333,1839,6,2019-02-15,2019-03-15,54.113,0.17831946397235396,0.1856506118504448,0.1820219504782763,0.09014796122929214,0.09351697881187593,50,57.5,0.13,0.1,0.16662948492472687,0.011689979047627086
WDC,0.04400000000000001,1880,10,2019-02-15,2019-03-15,48.134,0.40207089883344693,0.41859434808789997,0.4104157866967777,0.07491940249263473,0.10311336863807752,40,55,0.22,0.21,0.5075168275194136,-0.1054459286859667
X,0.030714285714285715,6462,14,2019-02-15,2019-03-15,22.703,0.395329281706601,0.42229323236441313,0.40903350417504997,0.08182109847632979,0.08745119483540698,19,26,0.1,0.07,0.45503663261972815,-0.05970735091312718
XHB,0.065,229,8,2019-02-15,2019-03-15,38.295,0.18471135497553576,0.20616778948192133,0.19573380147123315,0.09321534022493727,0.17171347985651653,35,40,0.09,0.13,0.21922440625064252,-0.03451305127510676
XLC,0.1,80,10,2019-02-15,2019-03-15,46.045,0.17816699471690145,0.20585002169065705,0.19250676538305916,0.09410477245063165,0.08249584382617636,42,49,0.1,0.05,0.2187068930975905,-0.040539898380689054
XLE,0.05411764705882354,2726,17,2019-02-15,2019-03-15,64.855,0.19960661373065958,0.21386313461592024,0.20685772960270057,0.0779207354681295,0.06274263155384258,59,70,0.14,0.07,0.19974523454817353,-1.386208175139514e-4
XLRE,0.1,22,4,2019-02-15,2019-03-15,34.75625,0.12265897480034857,0.14746733291325087,0.13563155675509317,0.15446856638443207,0.15991258333123648,33,36,0.1,0.05,0.13385039261001852,-0.011191417809669951
XRT,0.057692307692307696,3586,13,2019-02-15,2019-03-15,44.786,0.21550211392280702,0.2380554095689771,0.22705895614383056,0.07667868513048948,0.07504071956423869,40,48,0.11,0.05,0.17944700070669342,0.0360551132161136
ZAYO,0.09999999999999998,1242,6,2019-02-15,2019-03-15,25.48,0.5368937505372542,0.5854250535419216,0.5616838045913917,0.054679459313108136,0.07349194983548646,20,32.5,0.05,0.1,0.45347080159119135,0.08342294894606284
